"product_name","description","initial_price","final_price","currency","in_stock","color","size","reviews_count","country_code","domain","image_count","model_number","product_id","rating","root_category","category","brand","discount_rate"
"Tall Narrow Bathroom Storage Cabinet With 3 Drawers And 2 Shelves, Free Standing Kitchen Pantry Organizer With Open Compartment, Water-Resistant Finish","Free Returns ✓ Free Shipping✓. Tall Narrow Bathroom Storage Cabinet With 3 Drawers And 2 Shelves, Free Standing Kitchen Pantry Organizer With Open Compartment, Water-Resistant Finish- Storage Cabinets at SHEIN.",120.99,120.99,"USD",TRUE,"Grey","one-size",0,"US","us.shein.com",8,"sr2408096177189687",40460214,0,"Tools & Home Improvement","Storage Cabinets","SHEIN",0
"1PC Natural Yellow Rainbow Halo Raw Crystal, Aromatherapist Stone, Home Decoration, Office Decoration, Holiday Gifts.","Free Returns ✓ Free Shipping✓. 1PC Natural Yellow Rainbow Halo Raw Crystal, Aromatherapist Stone, Home Decoration, Office Decoration, Holiday Gifts.- Crystal Shapes & Carvings at SHEIN.",2.1,2.1,"USD",TRUE,"Multicolor","Electroplated Citrine",0,"US","us.shein.com",21,"sj2408053159478772",40351123,0,"Jewelry & Watches","Crystal Shapes & Carvings","SHEIN",0
"1PC Sexy Lingerie Body StockingOpen Crotch Hollow Out See Through Bodystocking Without Underwear","Free Returns ✓ Free Shipping✓. 1PC Sexy Lingerie Body StockingOpen Crotch Hollow Out See Through Bodystocking Without Underwear- Women Sexy Bodysuits at SHEIN.",3.39,2.14,"USD",TRUE,"Black","one-size",0,"US","us.shein.com",5,"si2406261616831585",40433938,0,"Underwear & Sleepwear","Women Sexy Bodysuits","SHEIN",36.87
"Italian Genuine Leather Thick Belt For Men, Retro Solid Brass Buckle","Free Returns ✓ Free Shipping✓. Italian Genuine Leather Thick Belt For Men, Retro Solid Brass Buckle- Men Belts at SHEIN.",22.8,21.3,"USD",TRUE,"Black","one-size",0,"US","us.shein.com",10,"sm2407308385090991",39962322,0,"Men","Men Belts","SHEIN",6.58
"Unbeatablesale Hylomar 61701 13.53 Oz Hylomar Cleaner Spray Can","Free Returns ✓ Free Shipping✓. Unbeatablesale Hylomar 61701 13.53 Oz Hylomar Cleaner Spray Can- Other Commercial Cleaning Supplies at SHEIN.",28.53,28.53,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"sh2407298976491666",39788871,0,"Home & Living","Other Commercial Cleaning Supplies","Unbeatablesale",0
"1 Set Cup & Saucer, Cute Cat Pattern, High-End Coffee Cup & Saucer Set, Latte Art","Free Returns ✓ Free Shipping✓. 1 Set Cup & Saucer, Cute Cat Pattern, High-End Coffee Cup & Saucer Set, Latte Art- Teacup & Saucer Sets at SHEIN.",12.7,12.2,"USD",TRUE,"White","150ML",0,"US","us.shein.com",10,"sh2407276568469064",39744348,0,"Home & Living","Teacup & Saucer Sets","SHEIN",3.94
"Unbeatablesale PIX North America MXV4-410 0.5 X 41 In. Heavy-Duty Lawn & Garden Equipment Belt,; Black","Free Returns ✓ Free Shipping✓. Unbeatablesale PIX North America MXV4-410 0.5 X 41 In. Heavy-Duty Lawn & Garden Equipment Belt,; Black- Tool Cases at SHEIN.",16.98,16.98,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",3,"sr2408101163065908",40505782,0,"Tools & Home Improvement","Tool Cases","Unbeatablesale",0
"30pcs,40in Rocket Balloons 6 Assorted Colors Flying Magic Long Balloons With Whistling Noise Premium-Quality Latex Balloon For Parties","Free Returns ✓ Free Shipping✓. 30pcs,40in Rocket Balloons 6 Assorted Colors Flying Magic Long Balloons With Whistling Noise Premium-Quality Latex Balloon For Parties- Decorative Balloons at SHEIN.",2.2,2.1,"USD",TRUE,"Multicolor","30pcs",0,"US","us.shein.com",6,"sh2407195163451376",41434093,0,"Home & Living","Decorative Balloons","SHEIN",4.55
"20pcs Artificial Green Plant Leaves Valentine'S Day Gift DIY Cake Decoration, Candy Box, Birthday Party Decoration, Wedding Flower Basket, Bride Holding Flowers, Home Decoration, Dining Room, Bedroom, Windowsill Decoration, Vase Ornaments, Valentine'S Day, New Year Decoration, Outdoor Garden, Start Of School Season","Free Returns ✓ Free Shipping✓. 20pcs Artificial Green Plant Leaves Valentine'S Day Gift DIY Cake Decoration, Candy Box, Birthday Party Decoration, Wedding Flower Basket, Bride Holding Flowers, Home Decoration, Dining Room, Bedroom, Windowsill Decoration, Vase Ornaments, Valentine'S Day, New Year Decoration, Outdoor Garden, Start Of School Season- Artificial Plants at SHEIN.",1.5,0.83,"USD",TRUE,"Multicolor","one-size",0,"US","us.shein.com",7,"sh2209283770328332",14063170,0,"Home & Living","Artificial Plants","SHEIN",44.67
"10pcs Transparent Baking Boxes With Window, Dessert Box, Pastry Box,  Gift Box, Easy And Convenient, Safe For Food Contact, Can Be Mixed And Assembled Sweets, Chocolates, Perfect For Celebrations And Home Baking","Free Returns ✓ Free Shipping✓. 10pcs Transparent Baking Boxes With Window, Dessert Box, Pastry Box,  Gift Box, Easy And Convenient, Safe For Food Contact, Can Be Mixed And Assembled Sweets, Chocolates, Perfect For Celebrations And Home Baking- Wrapping & Packaging at SHEIN.",7.8,6.63,"USD",TRUE,"White","10pcs",0,"US","us.shein.com",6,"sh2408070960902902",40438113,0,"Home & Living","Wrapping & Packaging","SHEIN",15
