product_name,description,initial_price,final_price,currency,in_stock,color,size,country_code,domain,image_count,model_number,product_id,rating,root_category,category,brand,free_returns,free_shipping,discount_rate,color_group
"Tall Narrow Bathroom Storage Cabinet With 3 Drawers And 2 Shelves, Free Standing Kitchen Pantry Organizer With Open Compartment, Water-Resistant Finish","Free Returns ✓ Free Shipping✓. Tall Narrow Bathroom Storage Cabinet With 3 Drawers And 2 Shelves, Free Standing Kitchen Pantry Organizer With Open Compartment, Water-Resistant Finish- Storage Cabinets at SHEIN.",120.99,120.99,USD,TRUE,Grey,one-size,US,us.shein.com,8,1,1,,Tools & Home Improvement,Storage Cabinets,SHEIN,TRUE,TRUE,1,Grey
"1PC Natural Yellow Rainbow Halo Raw Crystal, Aromatherapist Stone, Home Decoration, Office Decoration, Holiday Gifts.","Free Returns ✓ Free Shipping✓. 1PC Natural Yellow Rainbow Halo Raw Crystal, Aromatherapist Stone, Home Decoration, Office Decoration, Holiday Gifts.- Crystal Shapes & Carvings at SHEIN.",2.1,2.1,USD,TRUE,Multicolor,Electroplated Citrine,US,us.shein.com,21,2,2,,Jewelry & Watches,Crystal Shapes & Carvings,SHEIN,TRUE,FALSE,1,Multicolor
1PC Sexy Lingerie Body StockingOpen Crotch Hollow Out See Through Bodystocking Without Underwear,Free Returns ✓ Free Shipping✓. 1PC Sexy Lingerie Body StockingOpen Crotch Hollow Out See Through Bodystocking Without Underwear- Women Sexy Bodysuits at SHEIN.,3.39,2.14,USD,TRUE,Black,one-size,US,us.shein.com,5,3,3,,Underwear & Sleepwear,Women Sexy Bodysuits,SHEIN,TRUE,TRUE,0.6312684365781711,Green
"Italian Genuine Leather Thick Belt For Men, Retro Solid Brass Buckle","Free Returns ✓ Free Shipping✓. Italian Genuine Leather Thick Belt For Men, Retro Solid Brass Buckle- Men Belts at SHEIN.",22.8,21.3,USD,TRUE,Black,one-size,US,us.shein.com,10,4,4,,Men,Men Belts,SHEIN,TRUE,TRUE,0.9342105263157895,Green
Unbeatablesale Hylomar 61701 13.53 Oz Hylomar Cleaner Spray Can,Free Returns ✓ Free Shipping✓. Unbeatablesale Hylomar 61701 13.53 Oz Hylomar Cleaner Spray Can- Other Commercial Cleaning Supplies at SHEIN.,28.53,28.53,USD,TRUE,Multicolor,one-size,US,us.shein.com,3,5,5,,Home & Living,Other Commercial Cleaning Supplies,Unbeatablesale,TRUE,TRUE,1,Multicolor
"1 Set Cup & Saucer, Cute Cat Pattern, High-End Coffee Cup & Saucer Set, Latte Art","Free Returns ✓ Free Shipping✓. 1 Set Cup & Saucer, Cute Cat Pattern, High-End Coffee Cup & Saucer Set, Latte Art- Teacup & Saucer Sets at SHEIN.",12.7,12.2,USD,TRUE,White,150ML,US,us.shein.com,10,6,6,,Home & Living,Teacup & Saucer Sets,SHEIN,TRUE,TRUE,0.9606299212598425,White
"Unbeatablesale PIX North America MXV4-410 0.5 X 41 In. Heavy-Duty Lawn & Garden Equipment Belt,; Black","Free Returns ✓ Free Shipping✓. Unbeatablesale PIX North America MXV4-410 0.5 X 41 In. Heavy-Duty Lawn & Garden Equipment Belt,; Black- Tool Cases at SHEIN.",16.98,16.98,USD,FALSE,Multicolor,one-size,US,us.shein.com,3,7,7,,Tools & Home Improvement,Tool Cases,Unbeatablesale,TRUE,TRUE,1,Multicolor
"30pcs,40in Rocket Balloons 6 Assorted Colors Flying Magic Long Balloons With Whistling Noise Premium-Quality Latex Balloon For Parties","Free Returns ✓ Free Shipping✓. 30pcs,40in Rocket Balloons 6 Assorted Colors Flying Magic Long Balloons With Whistling Noise Premium-Quality Latex Balloon For Parties- Decorative Balloons at SHEIN.",2.2,2.1,USD,TRUE,Multicolor,30pcs,US,us.shein.com,6,8,8,,Home & Living,Decorative Balloons,SHEIN,FALSE,TRUE,0.9545454545454545,Multicolor
"20pcs Artificial Green Plant Leaves Valentine'S Day Gift DIY Cake Decoration, Candy Box, Birthday Party Decoration, Wedding Flower Basket, Bride Holding Flowers, Home Decoration, Dining Room, Bedroom, Windowsill Decoration, Vase Ornaments, Valentine'S Day, New Year Decoration, Outdoor Garden, Start Of School Season","Free Returns ✓ Free Shipping✓. 20pcs Artificial Green Plant Leaves Valentine'S Day Gift DIY Cake Decoration, Candy Box, Birthday Party Decoration, Wedding Flower Basket, Bride Holding Flowers, Home Decoration, Dining Room, Bedroom, Windowsill Decoration, Vase Ornaments, Valentine'S Day, New Year Decoration, Outdoor Garden, Start Of School Season- Artificial Plants at SHEIN.",1.5,0.83,USD,TRUE,Multicolor,one-size,US,us.shein.com,7,9,9,,Home & Living,Artificial Plants,SHEIN,TRUE,TRUE,0.5533333333333332,Multicolor
"10pcs Transparent Baking Boxes With Window, Dessert Box, Pastry Box,  Gift Box, Easy And Convenient, Safe For Food Contact, Can Be Mixed And Assembled Sweets, Chocolates, Perfect For Celebrations And Home Baking","Free Returns ✓ Free Shipping✓. 10pcs Transparent Baking Boxes With Window, Dessert Box, Pastry Box,  Gift Box, Easy And Convenient, Safe For Food Contact, Can Be Mixed And Assembled Sweets, Chocolates, Perfect For Celebrations And Home Baking- Wrapping & Packaging at SHEIN.",7.8,6.63,USD,TRUE,White,10pcs,US,us.shein.com,6,10,10,,Home & Living,Wrapping & Packaging,SHEIN,TRUE,TRUE,0.85,White
